Kilo_Seconds_B	rel_flux_T1(mag)	rel_flux_err_T1(mag)
0	0.021249	0.001624
0.031968	0.021117	0.001625
0.064022	0.01934	0.001627
0.09599	0.019256	0.001631
0.127958	0.021156	0.001632
0.160013	0.019355	0.00163
0.191981	0.014434	0.001638
0.223949	0.012302	0.00164
0.256003	0.011362	0.001637
0.287971	0.007481	0.00164
0.319939	0.015076	0.001637
0.351994	0.019061	0.001639
0.383962	0.023476	0.001642
0.416016	0.01418	0.001634
0.447984	0.015112	0.001637
0.479952	0.018148	0.001632
0.512006	0.016686	0.001633
0.543974	0.011087	0.001636
0.575942	0.012293	0.001646
0.607997	0.009438	0.001634
0.639965	0.011582	0.001645
0.671933	0.010118	0.001642
0.703987	0.003515	0.001649
0.735955	0.010708	0.001639
0.76801	0.017912	0.00164
0.799978	0.015413	0.00164
0.831946	0.020419	0.001635
0.864	0.015124	0.001633
0.895968	0.021489	0.001632
0.927936	0.020742	0.001631
0.95999	0.022319	0.001628
0.991958	0.022318	0.001629
1.023926	0.010359	0.001636
1.055981	0.00682	0.001634
1.087949	0.014049	0.001629
1.119917	0.011517	0.00163
1.151971	0.017484	0.001631
1.183939	0.018863	0.001629
1.215994	0.015048	0.00163
1.247962	0.011596	0.001633
1.27993	0.013761	0.001634
1.311984	0.010526	0.001631
1.343952	0.012564	0.001638
1.37592	0.007445	0.001641
1.407974	0.007029	0.00164
1.439942	0.004985	0.001634
1.47191	0.010984	0.001633
1.503965	0.007129	0.001631
1.535933	0.008774	0.001633
1.567901	0.013471	0.001632
1.599955	0.01104	0.001632
1.631923	0.015102	0.001628
1.663891	0.004544	0.001646
1.695946	0.007356	0.001633
1.727914	0.006985	0.001636
1.759968	0.002439	0.001634
1.791936	0.005457	0.00163
1.823904	0.002489	0.001632
1.855958	0.005027	0.001627
1.887926	0.006019	0.001628
1.919894	0.006406	0.00163
1.951949	0.011215	0.001625
1.983917	0.010169	0.001626
2.015885	0.010157	0.001625
2.047939	0.011763	0.001628
2.079907	0.014661	0.001624
2.111962	0.012597	0.001626
2.14393	0.01133	0.001626
2.175898	0.004659	0.001631
2.207952	0.004285	0.001628
2.23992	0.001446	0.001632
2.271888	0.000654	0.001641
2.303942	0.006807	0.001628
2.33591	0.004122	0.00163
2.367878	0.007192	0.001626
2.399933	0.005829	0.001635
2.431901	0.005626	0.001634
2.463869	0.01252	0.001626
2.495923	0.001697	0.001633
2.527891	0.005994	0.001625
2.559946	0.001822	0.001629
2.591914	0.001364	0.001627
2.623882	0.00409	0.001629
2.656886	0.009434	0.001622
2.688854	0.010337	0.001622
2.720909	0.012156	0.00162
2.752877	0.013494	0.001622
2.784931	0.003386	0.001647
2.816899	0.001771	0.001644
2.848867	0.003758	0.001645
2.880922	-0.000973	0.001649
2.91289	-0.001455	0.001651
2.944858	0.000845	0.001647
2.976912	-0.002848	0.001657
3.00888	-0.003308	0.001651
3.040848	0.000778	0.001642
3.072902	0.002326	0.001652
3.10487	0.005966	0.001648
3.136838	-0.001174	0.001657
3.168893	-0.000595	0.001644
3.200861	0.000896	0.00165
3.232915	0.002207	0.001643
3.264883	0.004536	0.001642
3.296851	0.00462	0.001644
3.328906	-0.002646	0.001635
3.360874	-0.005655	0.00164
3.392842	0.000446	0.001639
3.424896	-0.000904	0.001633
3.456864	0.000199	0.00164
3.488832	0.002495	0.001638
3.520886	0.002102	0.001635
3.552854	0.001823	0.001639
3.584822	-0.000767	0.001641
3.616877	0.000988	0.001633
3.648845	-0.00451	0.001634
3.680899	0.002628	0.001632
3.712867	-0.003771	0.001636
3.744835	-0.008375	0.001641
3.77689	-0.007838	0.001635
3.808858	-0.002076	0.001633
3.840826	-0.002256	0.001628
3.87288	-0.000181	0.001635
3.904848	-0.004986	0.001632
3.936816	-0.000676	0.001644
3.96887	-0.000717	0.001636
4.000838	-0.000204	0.001632
4.032806	-0.001766	0.001635
4.064861	-0.00461	0.001637
4.096829	-0.003292	0.001635
4.128883	-0.010854	0.00163
4.160851	-0.008131	0.001641
4.193856	-0.0008	0.001634
4.225824	-0.004109	0.001632
4.257878	-0.005753	0.001641
4.289846	0.002158	0.001641
4.321814	-0.001968	0.001638
4.353869	-0.009095	0.001641
4.385837	-0.000494	0.001643
4.417805	-0.002367	0.00164
4.449859	-0.007774	0.001643
4.481827	-0.005888	0.001644
4.513795	-0.006865	0.001643
4.54585	-0.010209	0.001641
4.577818	-0.005337	0.001632
4.609786	0.000751	0.00163
4.64184	0.000127	0.001633
4.673808	-0.003488	0.001633
4.705776	0.003165	0.001627
4.73783	0.00488	0.001631
4.769798	-0.004526	0.00163
4.801853	0.000542	0.001628
4.833821	-0.002219	0.001629
4.865789	-0.003277	0.001624
4.897843	-0.000534	0.001629
4.929811	-0.001725	0.001627
4.961779	-0.005766	0.001627
4.993834	0.000969	0.001625
5.025802	0.002668	0.001624
5.05777	0.001466	0.001625
5.089824	0.004378	0.001625
5.121792	0.003958	0.001623
5.15376	0.003289	0.001626
5.185814	0.00484	0.001623
5.217782	-0.000271	0.001629
5.250787	-0.001054	0.001629
5.282755	-0.011427	0.00163
5.31481	-0.001064	0.001634
5.346778	-0.002895	0.001637
5.378746	0.003482	0.001626
5.4108	-0.00204	0.001625
5.442768	0.000017	0.00163
5.473786	0.003375	0.001631
5.505754	0.001694	0.001629
5.537808	0.000332	0.001627
5.569776	-0.005187	0.001629
5.601744	0.002147	0.001626
5.633798	-0.000844	0.001629
5.665766	-0.008813	0.001626
5.697821	-0.006403	0.001637
5.729789	-0.003622	0.001628
5.761757	-0.001174	0.001626
5.793811	-0.001606	0.001625
5.825779	0.000951	0.001627
5.857747	0.001375	0.001625
5.889802	0.00218	0.001632
5.92177	-0.001778	0.00163
5.953738	-0.00237	0.001627
5.985792	-0.000204	0.001633
6.01776	0.000046	0.001631
6.049728	-0.000645	0.001627
6.081782	-0.00432	0.001625
6.11375	-0.002309	0.001627
6.145718	-0.000181	0.001625
6.177773	0.002358	0.001623
6.209741	0.004949	0.001627
6.241795	0.002433	0.001624
6.273763	0.002591	0.001625
6.305731	-0.004106	0.001628
6.337786	0.00253	0.001626
6.369754	-0.00049	0.001625
6.401722	-0.000891	0.001628
6.433776	-0.006453	0.001629
6.465744	-0.003692	0.001624
6.497712	-0.006275	0.001626
6.529766	-0.002074	0.001625
6.561734	-0.004658	0.001625
6.593702	-0.004943	0.001628
6.625757	-0.002576	0.001631
6.657725	-0.003332	0.001632
6.689779	-0.006921	0.001633
6.721747	-0.007827	0.001633
6.753715	-0.000293	0.001631
6.78577	-0.004382	0.001632
6.817738	-0.00719	0.001639
6.849706	-0.011044	0.001638
6.88176	-0.006323	0.001632
6.913728	-0.008066	0.001632
6.945696	-0.002198	0.001634
6.97775	0.001718	0.001632
7.009718	-0.003129	0.001633
7.041773	0.000722	0.001624
7.073741	-0.007169	0.001628
7.105709	-0.003545	0.001631
7.137763	-0.004872	0.001631
7.169731	-0.008066	0.001626
7.201699	-0.012706	0.001631
7.233754	-0.009564	0.00163
7.265722	-0.001842	0.001626
7.29769	-0.004283	0.001629
7.329744	0.002097	0.00163
7.361712	0.004154	0.001633
7.39368	0.0001	0.001633
7.425734	-0.000876	0.001639
7.457702	-0.004939	0.001641
7.48967	0.000112	0.001653
7.521725	-0.006977	0.00164
7.553693	-0.008654	0.001641
7.585661	-0.011553	0.001642
7.617715	-0.007908	0.001647
7.649683	-0.000122	0.001646
7.681738	-0.001461	0.001643
7.713706	-0.004144	0.001644
7.745674	-0.000494	0.001647
