kSec_B	rel_flux_T1_d(mag)	rel_flux_err_T1_d(mag)
0	-0.001037409	0.001326199
0.292463994	0.008538896	0.001512315
0.543455994	-0.006003915	0.001625735
0.597455983	0.005772682	0.001806414
0.624499208	0.001581838	0.001507819
0.651456012	0.003445235	0.001668414
0.678499196	0.009284375	0.001701809
0.705456001	0.002990966	0.001498768
0.732499185	0.006256055	0.001437653
0.759455989	0.011135213	0.00148053
0.786499214	0.006745527	0.001444081
0.840499203	-0.005406112	0.001553317
0.867456007	0.001221457	0.001465663
0.894499192	0.008919288	0.001702385
0.921455996	0.006102364	0.001494485
0.94849918	0.003079129	0.00152704
1.002499209	0.0025111	0.001449724
1.083456002	0.002960153	0.001399433
1.164412795	-0.003033241	0.001549935
1.19145598	-0.006849224	0.001669983
1.218412784	0.006907242	0.001634831
1.245456009	-0.003010522	0.001813953
1.272412813	0.002735586	0.002145037
1.299455997	0.017031722	0.001836845
1.327449609	-0.005384734	0.002025287
1.354406413	-0.000966429	0.002138118
1.381449598	0.011983349	0.00208465
1.408406402	-0.00294342	0.001963674
1.435449587	-0.006952702	0.001691636
1.462406391	0.010058588	0.001587793
1.51640638	-0.002705598	0.001635097
1.70536319	-0.007564508	0.001685431
1.732406415	-0.002815575	0.001970587
1.759363179	0.003377438	0.001796243
1.786406404	-0.002064308	0.001919328
1.813363208	0.017168018	0.001899666
1.840406393	0.000433493	0.001794006
2.137363181	-0.007992342	0.001564224
2.164319985	-0.004736577	0.001409411
2.218406394	0.007034668	0.001542742
2.245363198	8.00481E-05	0.001588235
2.272320002	-0.005607459	0.001496407
2.299363187	0.002665661	0.001485057
2.326319991	-0.003930713	0.001494101
2.519856016	-0.004468956	0.001594909
2.543875198	0.001221212	0.00158658
2.567807999	-0.000616555	0.00160351
2.591827181	0.002403932	0.001599059
2.615846403	-0.00211383	0.001627117
2.639865585	0.008716866	0.001688641
2.663798386	-0.005431209	0.001746535
2.687817608	0.001097501	0.001885361
2.71183679	-0.015867043	0.00212439
2.735856012	0.018237986	0.002219654
2.759788813	-0.013488478	0.002033309
2.783807994	0.005733431	0.001898574
2.807827216	-0.011345545	0.001986169
2.831846398	-0.000914855	0.00210249
2.855779199	0.011217046	0.002079152
2.879798381	0.033734245	0.002043414
2.903817603	-0.00875238	0.001931232
2.927836785	-0.023575779	0.001855954
2.951856007	0.004639532	0.001900496
