ksec_since_BJD2459546.66221244_B	rel_flux_T1_d(mag)	_d(mag)
0.000000000	0.003126076	0.001081073
0.182994000	-0.000888595	0.001074486
0.419996000	-0.005741298	0.001079351
0.573991000	0.006255231	0.001067530
0.679998000	-0.001341127	0.001075044
0.799992000	-0.003885084	0.001077590
1.000001000	0.003920908	0.001069915
1.036989000	-0.004305926	0.001067388
1.073986000	0.003257361	0.001070584
1.111000000	-0.000463998	0.001074265
1.147998000	0.001510270	0.001072322
1.184998000	0.001846828	0.001071997
1.221985000	0.007488796	0.001066450
1.259000000	0.008456930	0.001065507
1.296003000	0.006107842	0.001067821
1.332988000	0.011443608	0.001073111
1.369994000	0.012166221	0.001061896
1.407002000	0.008474811	0.001065518
1.444000000	0.008872266	0.001065135
1.480995000	0.005275330	0.001068675
1.517998000	-0.000672895	0.001074549
1.554988000	-0.002370470	0.001076237
1.591991000	0.000128180	0.001073771
1.628991000	-0.000099076	0.001074002
1.665978000	0.003805142	0.001070155
1.702996000	0.005675973	0.001068321
1.739985000	-0.000802705	0.001064082
1.776991000	0.002605297	0.001071358
1.813995000	-0.001151567	0.001064437
1.850986000	-0.005605731	0.001068817
1.887990000	-0.005299881	0.001068522
1.924993000	0.001558866	0.001061803
1.961984000	0.000970192	0.001062385
2.923976000	-0.000802970	0.001064270
2.960986000	-0.002161397	0.001065607
2.997983000	-0.000696459	0.001064176
3.034979000	-0.002886667	0.001066329
3.071978000	-0.007778627	0.001071147
3.108967000	-0.009425047	0.001072777
3.145974000	-0.009162297	0.001061803
3.182980000	-0.006188853	0.001069596
3.219980000	-0.001602588	0.001065095
3.256978000	-0.006039549	0.001069459
3.293966000	-0.001890877	0.001065387
3.330981000	-0.004073177	0.001067535
3.367964000	-0.001529189	0.001065043
3.404981000	-0.002259729	0.001065764
3.441971000	-0.001615233	0.001065137
3.478976000	-0.005453518	0.001068912
3.515968000	-0.006722051	0.001059469
3.552969000	-0.005411773	0.001058196
3.589978000	-0.004915174	0.001068396
3.626978000	-0.002294718	0.001065827
3.663988000	-0.006895725	0.001059657
3.700972000	-0.003106717	0.001055972
3.737974000	-0.006682936	0.001059459
3.774978000	-0.005832805	0.001069322
3.811968000	-0.003733336	0.001067262
3.848971000	-0.004006435	0.001067535
3.885977000	-0.007435805	0.001070915
3.922973000	-0.005215684	0.001068733
3.959972000	-0.002978764	0.001066539
3.996972000	0.000541280	0.001063092
4.033963000	-0.000710105	0.001064322
4.070965000	-0.000908073	0.001064520
4.107967000	-0.005193664	0.001068733
4.144967000	-0.001613229	0.001065220
4.181970000	-0.010147057	0.001062895
4.218972000	-0.011389542	0.001064115
4.255973000	-0.007617244	0.001060431
4.292963000	-0.007238035	0.001070767
4.329964000	-0.005232394	0.001058113
4.366971000	-0.003347882	0.001056283
4.403970000	-0.003941728	0.001056865
4.440964000	-0.004728303	0.001057634
4.477976000	-0.004670816	0.001057582
4.514962000	-0.003086146	0.001056044
4.551959000	-0.005860509	0.001058749
4.588961000	-0.009221449	0.001062034
4.625968000	-0.010087225	0.001062884
4.662964000	-0.008055084	0.001060902
4.699969000	-0.005598775	0.001058509
4.736960000	-0.006686594	0.001059573
4.773969000	-0.004126578	0.001057083
4.810958000	-0.003482009	0.001056460
4.847968000	-0.005872422	0.001058791
4.884964000	-0.002108780	0.001055132
4.921957000	-0.006721323	0.001048927
4.958956000	-0.008850731	0.001061708
4.995963000	-0.009952786	0.001062790
5.032951000	-0.010024346	0.001052132
5.069958000	-0.011633130	0.001053695
5.106972000	-0.006050168	0.001058989
5.143967000	-0.008210600	0.001061101
5.180954000	-0.008668287	0.001050834
5.217955000	-0.006585560	0.001059521
5.254956000	-0.003833761	0.001046174
5.291959000	-0.006428762	0.001059375
5.328966000	-0.010630228	0.001052747
5.365964000	-0.011745160	0.001053831
5.402957000	-0.009162803	0.001051332
5.439957000	-0.008998486	0.001051176
5.476953000	-0.006754612	0.001049010
5.513957000	-0.005616732	0.001047915
