ksec_since_2459582.59917451_B	rel_flux_T1_d(mag)	rel_flux_err_T1_d(mag)
0	0.028894891	0.001432641
0.154998113	0.024179268	0.001381757
0.334995246	0.050810652	0.001353448
0.446979994	0.034099382	0.00133549
0.581479767	-0.022135085	0.001598979
1.118445392	-0.036224474	0.001592171
1.249437279	-0.034880969	0.001562354
1.50391206	0.026448444	0.001244259
1.670901659	0.011079242	0.001300561
1.706893337	0.001771244	0.001293622
1.742901389	0.01306097	0.001289347
1.778893027	0.021392179	0.001282829
1.814884704	0.042743549	0.001277087
1.850884107	0.039469982	0.001271795
1.886882664	0.024138547	0.001269758
1.922888987	0.019915365	0.001264777
1.958884124	-0.002920943	0.00125562
1.994882682	0.014015355	0.001250507
2.030874319	0.004839617	0.001245746
2.066881527	-0.048719998	0.001236604
2.102869704	-0.011924273	0.001233056
2.138868262	0.001485561	0.001229065
2.174869435	-0.016354122	0.001225765
2.210864532	0.007899131	0.001222153
2.246855325	-0.047157079	0.001223816
2.282866837	-0.044356116	0.001219949
2.318863665	-0.042213816	0.001214813
2.354854457	-0.009670153	0.001211266
2.390866815	-0.01977868	0.001268954
2.426843807	-0.010710187	0.001263618
2.463855837	-0.04097836	0.001258998
2.499844015	-0.037127469	0.001252236
2.535856412	-0.007223879	0.001250216
2.57183594	-0.036169277	0.001242957
2.607836227	-0.007587388	0.001240983
2.644830112	-0.019186717	0.001237662
2.680834745	-0.004186075	0.001235996
2.716838492	-0.014857934	0.001230053
2.752832705	0.001181144	0.001225068
2.788833877	0.002534773	0.001220957
2.82481948	0.005826455	0.001214535
2.861830625	0.005061747	0.001209596
2.897833528	0.008520183	0.001207187
2.933826895	0.015763656	0.001203898
2.969816802	0.019020827	0.001200752
3.005819705	0.013650116	0.001197724
3.041818263	0.031734346	0.001197169
3.0778099	0.012689906	0.001196487
3.113816223	0.017980056	0.001193651
3.14979925	0.007445743	0.001230573
3.185806458	0.000508957	0.001224559
3.22179206	0.036347198	0.001223676
3.257799228	0.056688297	0.001219997
3.293797785	-0.009133376	0.001213037
3.329792923	0.01912452	0.001210106
3.365788865	-0.020037188	0.001204367
3.401793498	0.03738999	0.001207274
3.437778215	-0.000590373	0.001199302
3.473777658	-0.006634913	0.001195989
3.509777945	0.018970948	0.001194315
3.545781693	0.005251283	0.00118813
3.581782825	0.058599616	0.001187485
3.617768428	0.048707961	0.001185553
3.653775635	0.038561549	0.001182814
3.689767273	0.038902458	0.001179138
3.725763255	0.008010066	0.001176469
3.761754893	-0.003092674	0.001175342
3.797761215	-0.001752185	0.001176228
3.833765848	-0.009915509	0.001197312
3.869755755	-0.02921568	0.001197219
3.905753468	-0.047320069	0.001191537
3.942749083	0.005878768	0.001190903
3.978755406	0.044897267	0.00119099
4.014751388	-0.005144387	0.001176246
4.050752521	-0.044287599	0.001172509
4.086749348	0.009261586	0.001169188
4.123746693	-0.023047125	0.001170984
4.159742676	0.022282091	0.001175229
4.195731738	0.024566483	0.001174102
4.231726836	-0.006945276	0.001170891
4.267740078	0.018834777	0.001171573
4.304734848	0.013496031	0.001168777
4.340731676	-0.002164249	0.001169204
4.376729348	0.079180421	0.001172784
4.412731366	0.027438091	0.001171015
4.448719583	0.087133676	0.001173762
4.485721233	-0.001570519	0.001176479
4.521714601	0.059867621	0.001181848
4.557713158	0.089523139	0.001179711
4.593706526	0.095089801	0.001181438
4.629719809	0.029558244	0.001173027
4.666692089	0.095156221	0.001178432
4.702705331	0.045160349	0.001172835
4.738709924	0.056525426	0.001172911
4.774704176	0.10008488	0.001178366
4.810691509	0.082502819	0.001174723
4.847687969	0.104386162	0.001173642
4.883692601	0.087992945	0.001174168
4.919685969	0.002380832	0.001170706
5.028670934	0.049902065	0.001175794
5.064674681	0.044147344	0.001172369
5.100677544	0.097147481	0.00117784
5.136683021	0.044491644	0.001173231
5.172665164	0.0389863	0.001173783
5.208668026	0.085508034	0.001175914
5.245662796	0.031509012	0.00116828
5.281658779	0.060403938	0.001174182
5.317669407	0.103786261	0.001177623
5.353661929	0.101898006	0.001175615
5.389658757	0.04640209	0.001172854
5.425653854	0.095610886	0.001178767
5.461652412	0.111009493	0.001174745
5.497657044	0.095638933	0.00117227
5.533652142	0.073014311	0.001170274
5.569639474	0.074374076	0.001169856
5.605647527	0.069628741	0.001169585
5.641648699	0.119783521	0.001172657
5.677631687	0.084314586	0.001171467
5.713644084	-0.006179598	0.001167104
5.749636607	0.061637869	0.001173898
5.785629089	0.116624587	0.001176534
5.821625917	0.036229209	0.001172636
5.857627089	0.06114822	0.001169027
5.893617882	0.036247626	0.001169369
5.929622474	0.040967989	0.001165503
5.965616727	0.004949429	0.001164127
6.001623935	-0.015088601	0.001164056
6.037620762	0.015992572	0.001165273
6.073618434	-0.062217469	0.001156485
6.146607417	-0.057744549	0.00116065
6.182603399	-0.078879056	0.001158532
6.218594192	-0.059000167	0.001156734
6.25460313	-0.071196289	0.001159752
6.290609452	-0.069332003	0.001156868
6.327599877	-0.04138316	0.001156536
6.363591515	-0.073483642	0.001156879
6.399589227	-0.071776982	0.001154812
6.435589515	-0.077671637	0.001157882
6.471587227	-0.035776293	0.001157823
6.508581957	-0.053636506	0.001160469
6.544573595	-0.055920469	0.001158328
6.580569577	-0.058757895	0.001158899
6.61658455	-0.070020216	0.001158938
6.652571882	-0.033955754	0.001160108
6.688569595	-0.046501863	0.00116076
6.724574187	-0.055708736	0.001156896
6.760562365	-0.080837018	0.001158344
6.796569572	-0.077493296	0.001156513
6.832555175	-0.046105139	0.001159911
6.868558922	-0.052131592	0.001162059
6.904554905	-0.0594286	0.00115899
6.940552577	-0.067943544	0.001161177
6.976545945	-0.072459381	0.001160288
7.012544543	-0.072202169	0.001160894
7.04853791	-0.030923699	0.001162566
7.084539928	-0.045488351	0.001160751
7.12054971	-0.064002177	0.001159154
7.156543078	-0.055683657	0.001160439
7.19253733	-0.064197581	0.001159625
7.228543653	-0.055458901	0.001159468
7.264536175	-0.033092001	0.001162236
7.300534733	-0.05297358	0.001162661
7.336527255	-0.031050768	0.001163446
7.372527543	-0.046772323	0.001160264
7.40852783	-0.01470148	0.001162557
7.445523445	-0.039978276	0.001155439
7.481518543	-0.011700835	0.001155588
7.5175171	-0.00906715	0.001156347
7.553520848	-0.02643249	0.001154321
7.589514215	-0.003949584	0.001155385
7.62651329	-0.018923864	0.00115631
7.662504928	-0.018729768	0.001156623
7.698500025	-0.023766663	0.001159315
7.734497738	-0.023080253	0.001156847
7.770496295	-0.029463964	0.001157376
7.807491066	-0.028132134	0.001160527
7.843493083	-0.028279667	0.001158984
7.879501136	-0.032930791	0.001158761
7.915493658	-0.032818437	0.001158046
7.951494791	-0.032253094	0.001158303
7.988482641	-0.011471286	0.00115484
8.024489848	-0.002126283	0.001157563
8.060486676	-0.030000413	0.001158749
8.096475738	-0.022296051	0.00115853
8.132473411	-0.006904753	0.001158178
8.169481136	-0.007062899	0.001157591
8.205466738	0.006069535	0.001158502
8.241472216	-0.006880192	0.001156571
8.277469888	0.007637328	0.001158585
8.313470176	0.009464862	0.001156342
8.350468406	0.009833839	0.001156422
8.386454009	-0.041004605	0.001154744
8.422453411	-0.034729485	0.001156727
8.458451968	-0.065471726	0.001157326
8.494453986	-0.054669531	0.0011582
8.854425761	0.033515522	0.001163359
8.890434699	-0.028062537	0.001158594
8.926422031	0.0362726	0.00116278
8.962426624	-0.019191355	0.001157847
8.998411381	-0.018717195	0.001158643
9.034422049	-0.005616119	0.001157305
9.070411071	-0.018105851	0.001157581
9.106413089	-0.016283302	0.001156779
9.142403036	-0.016014111	0.001156644
9.286397266	-0.005253073	0.00116145
9.322392364	-0.004937822	0.001160014
9.358394381	0.006468487	0.00115967
9.394393824	0.00559784	0.001159449
9.430392382	-0.005891235	0.001157521
9.467391457	0.006425853	0.001158545
9.503382209	0.012338256	0.001159124
9.539373887	0.017821506	0.001159579
9.575386244	0.006189556	0.001161306
9.611381342	0.02009375	0.001161941
9.647384244	0.024188012	0.001163773
9.683370692	0.029980835	0.001162353
9.719380474	0.014152067	0.001160565
9.755362657	0.031975838	0.001161602
9.791374169	0.015239203	0.001159932
9.827366652	0.023100307	0.001160429
9.863360059	0.034898609	0.001161717
9.899360347	0.029956206	0.001161756
9.935352829	0.016249989	0.001160771
9.971350542	0.022158342	0.001163201
10.00735775	-0.002877485	0.001161832
10.04335542	0.00106866	0.001161501
10.07933845	0.045877329	0.001163456
10.11534996	0.041349988	0.001162749
10.15135025	0.038683392	0.001160563
10.18733585	0.033759327	0.001159353
10.22334563	0.037332316	0.001160012
10.25933731	0.065407675	0.001162701
10.29532722	0.042195995	0.001161282
10.33133616	0.067060142	0.001162685
10.36733729	0.051331672	0.001162663
10.40331943	0.051731783	0.00116349
10.43932406	0.04140715	0.001162275
10.5113108	0.035545479	0.001160554
10.54732231	0.018212826	0.001160698
10.58431535	0.047167364	0.001161187
10.62031475	0.027301642	0.001158332
10.65631074	0.047317328	0.001161276
10.69230237	0.022692721	0.001161133
10.72830958	0.031523964	0.00116239
10.7653052	0.007033641	0.001162126
10.80130806	0.062503651	0.001165748
10.83729712	0.044552713	0.001164058
10.87330521	0.06367368	0.001163495
10.90929339	0.067109314	0.001163524
10.94629247	0.061052863	0.001163332
10.98228326	0.049101155	0.001162315
11.01828182	0.037539336	0.001161491
11.19926647	0.029598333	0.001164261
11.23526503	0.032924633	0.001163987
11.27126359	0.020395639	0.001160973
11.3072708	0.030084347	0.001162938
11.34327627	0.040955877	0.001163928
11.37926361	0.04180665	0.001164256
11.4152682	0.025044516	0.001161984
11.4512538	0.022210642	0.001162688
11.48725236	0.021107072	0.001165398
11.52325092	0.065591479	0.001169005
11.55924601	0.037671293	0.00116764
11.59524803	0.043061606	0.001167215
11.63125785	0.031154394	0.001164097
11.6672538	0.05341833	0.001166125
11.70323421	0.036582203	0.001163302
11.73923884	0.059903593	0.00116491
11.77523221	0.037394083	0.001164452
11.81124199	0.052226738	0.001163932
11.84723797	0.024170556	0.001162083
11.88323134	0.012109129	0.001163813
11.91923078	0.053095523	0.001167443
11.95522154	-0.003341777	0.001164183
11.99122271	0.003406813	0.001164523
12.02721608	0.027670554	0.001163015
12.06422034	0.004751542	0.001162481
12.10021801	0.049795364	0.001165418
12.13620708	0.017747188	0.001163039
12.17220652	0.019880754	0.001163401
12.20919779	0.031734734	0.001166916
12.24520069	-0.022629389	0.001160808
12.28124246	-0.031373239	0.001163006
12.31719262	-0.030079597	0.001162445
12.35319725	-0.019052125	0.001162597
12.38920011	-0.038895451	0.001160976
12.42618362	-0.026933574	0.00116161
12.46219082	-0.016018284	0.0011621
12.498192	-0.01277625	0.001160799
12.53418709	-0.031847329	0.001159744
12.57018477	-0.014793139	0.001159206
12.60718127	-0.034325862	0.001160422
12.64317552	-0.002161702	0.001162323
12.67917665	-0.018327906	0.001165158
12.7151709	-0.018733305	0.001165419
12.75117119	-0.01277272	0.001165812
12.78816335	-0.005457224	0.001164797
12.82417916	-0.017317265	0.001164832
12.86015873	-0.056468198	0.001159793
12.89616159	-0.025711826	0.0011606
12.93216361	-0.040397559	0.001160227
12.96915665	-0.021076838	0.001160014
13.00515175	-0.038318814	0.001158663
13.04115723	-0.020967924	0.001162568
13.15013962	-0.012013796	0.001163698
13.1861494	-0.053043424	0.001160287
13.22213327	-0.044588037	0.001159485
13.25814132	-0.024207672	0.001161539
13.29413296	-0.024185723	0.00115947
13.33113377	-0.028231434	0.001159523
13.36713232	-0.042847432	0.001159362
13.40312396	-0.061993541	0.001157857
13.43912859	-0.055260521	0.001161136
13.47512458	-0.060265963	0.0011606
13.51211585	-0.045641719	0.001162282
13.54811786	-0.062858736	0.001160064
13.58411642	-0.04320276	0.001159905
13.62012278	-0.051381393	0.001157062
13.6561075	-0.030915968	0.001160165
13.69310312	-0.024050382	0.00115889
13.72910256	-0.030677053	0.001159097
13.76510023	-0.048422501	0.00115987
13.80109794	-0.041942473	0.00116212
13.8370965	-0.04406513	0.001163555
13.87309417	-0.016698572	0.001164317
13.90909189	-0.028548032	0.001161601
13.94409685	-0.020614541	0.001163363
13.9800954	-0.032789269	0.001159847
14.01607928	-0.021023374	0.001162902
14.05208648	-0.018214308	0.001161339
14.08808331	-0.021786063	0.001161986
14.12408533	-0.033875718	0.001158799
14.16007612	-0.024695409	0.001161498
14.19607552	-0.027305319	0.001163684
14.23207581	-0.036344553	0.001165902
14.2680761	-0.044000756	0.001164791
14.30406605	-0.023890781	0.001164357
14.3400741	-0.048448355	0.001162737
14.37605709	-0.022965518	0.001161091
14.41205737	-0.028709215	0.001164058
14.44805509	-0.029897118	0.001165012
14.48405018	-0.034005045	0.001162268
14.52005309	-0.020074897	0.001162501
14.55605337	-0.040512293	0.001162727
14.5920424	-0.04010477	0.001164552
14.62805049	-0.048589001	0.001165045
14.66404816	-0.041423281	0.001165629
14.70004587	-0.03974487	0.0011652
14.73604013	-0.022063675	0.001164663
14.77204214	-0.018381314	0.00116511
14.80904206	-0.024884219	0.001165687
14.84502421	-0.006614784	0.001165126
14.88103833	-0.006138326	0.001166619
14.91703255	-0.013826508	0.001165089
14.95303026	-0.000355838	0.001165667
14.99002153	-0.013084751	0.001168501
15.0260184	0.008961828	0.00116909
15.0620178	-0.006776984	0.001167992
15.09801205	0.02000636	0.001169286
15.13401061	0.031080416	0.001168933
15.17101226	0.016054994	0.00116815
15.20701516	0.02084333	0.001168506
15.24301372	0.026744304	0.001167244
15.27900709	0.056129714	0.001169554
15.31500392	0.035003001	0.0011693
15.35200211	0.033523397	0.001170643
15.38799897	0.034387716	0.001172341
15.42399492	0.010852505	0.001169692
15.45999609	0.019622965	0.001169761
15.49599292	0.014730551	0.001169895
15.53298765	-0.014514686	0.00123377
15.56898363	0.019922033	0.001174968
15.60498649	0.03967519	0.001175837
15.64098939	0.023402213	0.001175423
15.67697411	0.027194561	0.001174709
15.71297959	0.020522205	0.001177182
15.74897469	-0.000946144	0.001177388
15.78496721	0.004906391	0.001179489
15.82096146	-0.01343796	0.001176231
15.8569704	0.017369484	0.001177124
15.89296115	0.030236353	0.001176023
