ksec_since_2459583.86275419_B	rel_flux_T1_d(mag)	_d(mag)
0.000000000	-0.024998598	0.001401239
0.298012000	0.000697018	0.001292954
0.378013000	0.003401351	0.001279738
0.439010000	-0.005882372	0.001272979
0.520007000	-0.002849680	0.001310123
0.679018000	0.005567720	0.001275022
0.706023000	-0.003582352	0.001273141
0.733020000	0.008180585	0.001269513
0.760015000	-0.004321253	0.001319822
0.787014000	-0.000738229	0.001312978
0.814024000	0.002987654	0.001305993
0.841026000	0.000245874	0.001301736
0.868025000	0.000110865	0.001296870
0.895024000	0.001379526	0.001290335
0.922027000	0.003976274	0.001287291
0.949025000	0.003256372	0.001280607
0.976029000	0.003580260	0.001277738
1.003025000	0.005658429	0.001272813
1.030025000	-0.000818652	0.001315938
1.057029000	0.000333648	0.001309518
1.084025000	0.001905218	0.001307664
1.111025000	0.000663431	0.001299075
1.138028000	0.000586746	0.001294143
1.165020000	0.001553879	0.001287972
1.192015000	0.002275094	0.001284629
1.219018000	0.002760939	0.001276515
1.246026000	0.002197151	0.001274689
1.273190000	0.008466118	0.001279959
1.300031000	0.011068182	0.001312038
1.327031000	0.006954981	0.001304472
1.354019000	0.011979612	0.001300999
1.381026000	0.009032810	0.001294526
1.408021000	0.011923563	0.001291127
1.435027000	0.007715973	0.001286118
1.462023000	0.005093729	0.001284225
1.489028000	-0.000195299	0.001277865
1.516036000	0.004857216	0.001274500
1.543031000	-0.000524167	0.001318894
1.570025000	-0.000632406	0.001313999
1.597032000	-0.004142311	0.001308122
1.624033000	0.003636400	0.001301359
1.651025000	0.001588185	0.001298799
1.678022000	0.000254317	0.001292839
1.705025000	0.000292083	0.001287772
1.732036000	0.006612572	0.001282865
1.759034000	0.003354841	0.001279184
1.786034000	0.002697620	0.001277475
1.813036000	-0.003696473	0.001325752
1.840039000	-0.000192381	0.001316461
1.867029000	-0.001933628	0.001311003
1.894031000	0.001669517	0.001306710
1.921033000	0.000012965	0.001301147
1.948040000	-0.002983741	0.001297164
1.975037000	0.000202932	0.001293413
2.002029000	-0.005526910	0.001290109
2.029033000	0.000119897	0.001283469
2.056028000	0.003334203	0.001279726
2.083043000	-0.005550665	0.001320866
2.110036000	-0.000290714	0.001314537
2.137026000	-0.000779322	0.001310104
2.164031000	-0.000716439	0.001305005
