Kilo-Sec_B	rel_flux_T1_d(mag)	rel_flux_err_T1_d(mag)
0	-0.076271	0.000769
0.121046	-0.010296	0.000764
0.210038	0.005573	0.000749
0.236995	-0.0318	0.000745
0.264038	-0.04706	0.000763
0.290995	-0.026061	0.000749
0.318038	-0.06695	0.000741
0.344995	-0.052185	0.00074
0.372038	-0.048221	0.000745
0.398995	-0.042497	0.000737
0.425952	-0.047843	0.000731
0.452995	0.011737	0.00073
0.479952	-0.038463	0.000731
0.506995	-0.012129	0.000719
0.533952	-0.043946	0.000726
0.560995	0.003757	0.000718
0.587952	-0.04987	0.000716
0.614995	-0.002468	0.000709
0.641952	-0.005754	0.000715
0.668995	-0.02197	0.000706
0.695952	0.009917	0.000696
0.722995	-0.026372	0.000704
0.749952	-0.001524	0.000696
0.776995	-0.029846	0.000688
0.803952	-0.042846	0.000689
0.830995	0.024342	0.000692
0.857952	-0.001056	0.00068
0.884995	-0.015789	0.000685
0.911952	-0.036836	0.000688
0.938995	-0.011731	0.00067
0.965952	-0.068232	0.000668
0.992995	-0.055759	0.000667
1.019952	-0.063019	0.000667
1.046909	0.000767	0.000664
1.073952	-0.06127	0.000662
1.100995	-0.02811	0.000658
1.127952	-0.006128	0.000663
1.154909	-0.037827	0.000647
1.181952	-0.044993	0.000654
1.208909	-0.068981	0.000652
1.235952	-0.08071	0.000704
1.262909	-0.046544	0.000705
1.290989	-0.016965	0.000693
1.317946	-0.063312	0.000694
1.344902	-0.079492	0.000689
1.371946	-0.071983	0.0007
1.398902	-0.060446	0.000688
1.425946	-0.045401	0.00069
1.452902	-0.091294	0.00068
1.479946	-0.06839	0.000676
1.506902	-0.066567	0.000683
1.533946	-0.038372	0.000673
1.560902	-0.086667	0.000669
1.587946	-0.062865	0.000665
1.614902	-0.041902	0.000657
1.641946	-0.035742	0.000653
1.668902	-0.015829	0.000659
1.695946	-0.095597	0.000654
1.722902	-0.051956	0.000664
1.749946	-0.074995	0.000652
1.776902	-0.037303	0.000645
1.803859	-0.093523	0.000645
1.830902	-0.068172	0.000641
1.857859	-0.070668	0.00064
1.884902	-0.050935	0.000647
1.911859	-0.112405	0.000638
1.938902	-0.083324	0.000635
1.965859	-0.07785	0.00063
1.992902	-0.054385	0.000627
2.019859	0.016194	0.000626
2.046902	-0.029381	0.00062
2.073859	0.020513	0.000689
2.100902	0.000391	0.000678
2.127859	-0.000287	0.000665
2.154902	0.010759	0.000662
2.181859	-0.016319	0.000661
2.208902	-0.029778	0.000665
2.235859	-0.03666	0.000662
2.262902	0.012904	0.000656
2.289859	0.047284	0.000645
2.316902	-0.009621	0.000649
2.343859	0.007275	0.000648
2.370816	-0.037122	0.000652
2.397859	-0.057062	0.000644
2.424902	-0.012252	0.00064
2.451859	-0.066136	0.000646
2.478816	-0.020697	0.000637
2.505859	-0.009006	0.000628
2.532816	-0.052137	0.000631
2.559859	-0.025322	0.000622
2.586816	-0.080105	0.000625
2.613859	-0.057261	0.000625
2.640816	-0.035392	0.000628
2.667859	-0.074582	0.000624
2.694816	-0.020565	0.000618
2.721859	-0.002822	0.000614
2.748816	-0.042397	0.000614
2.775859	-0.021819	0.000608
